AS38783,IDNIC-ID Indonesia Network Information Center,0.00,0.00,533,
AS38784,ORBICOMNET-AS-ID PT. Global Inti Corporatama,,,13,
AS38784,ORBICOMNET-AS-ID PT. Global Inti Corporatama,0.00,0.00,13,
AS38785,BAGUSNET-AS-ID PT. BORNEO BROADBAND TECHNOLOGY,0.00,0.00,595,
AS38896,CERGIS-AS-AP PT. Centra Global Investama,0.00,0.00,2541,
AS45146,RAJASA-AS-ID-AP PT. Raja Sepadan Abadi,0.00,0.00,84,
AS45286,EDIINDONESIA-AS-ID PT EDI INDONESIA,,,18,
AS45286,EDIINDONESIA-AS-ID PT EDI INDONESIA,0.00,0.00,18,
AS45287,VARNION-AS-ID Varnion Technology Semesta, PT,0.00,0.00,7170,
AS45288,CYBER512-AS-ID KOMUNIKA LIMA DUABELAS, PT,0.00,0.00,129,
AS45289,INDOTRANS-AS-ID Indotrans Data, PT,0.00,0.00,928,
AS45291,SURF-ID PT Surfindo Network,,,6,
AS45291,SURF-ID PT Surfindo Network,0.00,0.00,6,
AS45292,LIPI-AS-ID Lembaga Ilmu Pengetahuan Indonesia - LIPI,2.23,0.00,761,
AS45294,WANXP-AS-ID PT. Wanriau Indoxp,0.01,0.01,9052,
AS45295,KEPRINET-AS-ID PT. Cipta Informatika Cemerlang,0.00,0.00,716,
AS45298,INTERLINK-TECH-AS-ID INTERLINK TECHNOLOGY, PT,0.00,0.00,1019,
AS45302,DESNET-AS-ID PT DES Teknologi Informasi,0.00,0.00,1402,
AS45304,PETRA-AS-ID PetraNet, Surabaya, Indonesia,0.00,0.00,553,
AS45305,LDP-AS-ID Lintas Data Prima, PT,0.00,0.00,3848,
AS45312,MLD-ID PT MEDIA LINTAS DATA,0.00,0.00,444,
AS45313,PEMDA-NAD-AS-ID Dinas Perhubungan,komunikasi, informasi dan Telematika -NAD,0.00,0.00,192,
AS45315,POLARIS-AS-ID PT POLARISNET,0.00,0.00,96,
AS45316,IDNIC-KKI-AS-ID Kantor Komunikasi Dan Informatika Kota Bogor,0.00,0.00,144,
AS45317,JATARA-AS-ID Jaringan Lintas Utara, PT,0.00,0.00,269,
AS45319,UBHARA-AS-ID Universitas Bhayangkara,,,36,
AS45319,UBHARA-AS-ID Universitas Bhayangkara,0.00,0.00,36,
AS45320,DEPKOMINFO-AS-ID Departemen Komunikasi dan Informasi Republik Indonesia,0.00,0.00,488,
AS45325,PC24NET-AS-ID PT PC24 Telekomunikasi Indonesia,0.00,0.00,175,
AS45696,PPATK-AS-ID Pusat Pelaporan dan Analisis Transaksi Keuangan,,,1,
AS45696,PPATK-AS-ID Pusat Pelaporan dan Analisis Transaksi Keuangan,0.00,0.00,1,
AS45697,UBAYA-AS-ID Universitas Surabaya,0.12,0.12,864,
AS45699,JDN-AS-ID Jogja Digital, PT,0.00,0.00,54,
AS45701,MILLENINDO-AS-ID Internet Madju Abad Millenindo, PT,0.00,0.00,5233,
